[0109/115351.965:ERROR:child_thread_impl.cc(762)] Request for unknown Channel-associated interface: ui::mojom::GpuMain
[0109/115411.900:ERROR:child_thread_impl.cc(762)] Request for unknown Channel-associated interface: ui::mojom::GpuMain
[0109/115414.859:WARNING:p2ptransportchannel.cc(514)] Jingle:Port[086F5818:audio:1:0:local:Net[any:0.0.0.x/0:Unknown]]: SetOption(5, 0) failed: 0
[0109/115414.860:WARNING:p2ptransportchannel.cc(514)] Jingle:Port[087028F8:audio:1:0:local:Net[any:0:0:0:x:x:x:x:x/0:Unknown]]: SetOption(5, 0) failed: 0
[0109/115414.860:WARNING:p2ptransportchannel.cc(514)] Jingle:Port[086F7378:video:1:0:local:Net[any:0.0.0.x/0:Unknown]]: SetOption(1, 65536) failed: 0
[0109/115414.860:WARNING:p2ptransportchannel.cc(514)] Jingle:Port[086F7378:video:1:0:local:Net[any:0.0.0.x/0:Unknown]]: SetOption(2, 65536) failed: 0
[0109/115414.860:WARNING:p2ptransportchannel.cc(514)] Jingle:Port[086F7378:video:1:0:local:Net[any:0.0.0.x/0:Unknown]]: SetOption(5, 0) failed: 0
[0109/115414.860:WARNING:p2ptransportchannel.cc(514)] Jingle:Port[08703320:video:1:0:local:Net[any:0:0:0:x:x:x:x:x/0:Unknown]]: SetOption(1, 65536) failed: 0
[0109/115414.861:WARNING:p2ptransportchannel.cc(514)] Jingle:Port[08703320:video:1:0:local:Net[any:0:0:0:x:x:x:x:x/0:Unknown]]: SetOption(2, 65536) failed: 0
[0109/115414.861:WARNING:p2ptransportchannel.cc(514)] Jingle:Port[08703320:video:1:0:local:Net[any:0:0:0:x:x:x:x:x/0:Unknown]]: SetOption(5, 0) failed: 0
[0109/115414.867:WARNING:p2ptransportchannel.cc(966)] SetOption(1, 65536) failed: 0
[0109/115414.867:WARNING:p2ptransportchannel.cc(966)] SetOption(1, 65536) failed: 0
[0109/115414.867:WARNING:p2ptransportchannel.cc(966)] SetOption(2, 65536) failed: 0
[0109/115414.868:WARNING:p2ptransportchannel.cc(966)] SetOption(2, 65536) failed: 0
[0109/115414.932:WARNING:tcpport.cc(396)] Socket is bound to a different address:172.30.38.48, rather then the local port:0.0.0.0. Still allowing it since it's any address, possibly caused by multi-routes being disabled.
[0109/115414.944:WARNING:webrtcsession.cc(1683)] Candidate has an unknown component: Cand[:1:2:udp:2013266430:172.18.0.27:14985:local::0:::0:0:0] for content: audio
[0109/115414.945:WARNING:webrtcsession.cc(1683)] Candidate has an unknown component: Cand[:2:2:tcp:1019216126:172.18.0.27:9:local::0:::0:0:0] for content: audio
[0109/115414.946:WARNING:webrtcsession.cc(1683)] Candidate has an unknown component: Cand[:4:2:tcp:1015021822:172.18.0.27:14965:local::0:::0:0:0] for content: audio
[0109/115415.093:ERROR:dtlstransportchannel.cc(540)] Jingle:Channel[audio|1|__]: Received non-DTLS packet before DTLS complete.
[0109/115415.139:ERROR:dtlstransportchannel.cc(540)] Jingle:Channel[audio|1|__]: Received non-DTLS packet before DTLS complete.
[0109/115415.466:ERROR:dtlstransportchannel.cc(540)] Jingle:Channel[audio|1|__]: Received non-DTLS packet before DTLS complete.
[0109/115415.469:ERROR:dtlstransportchannel.cc(540)] Jingle:Channel[audio|1|__]: Received non-DTLS packet before DTLS complete.
[0109/115425.152:WARNING:rtcp_receiver.cc(391)] 18 RTCP blocks were skipped due to being malformed or of unrecognized/unsupported type, during the past 10 second period.
[0109/115425.152:WARNING:rtcp_receiver.cc(391)] 18 RTCP blocks were skipped due to being malformed or of unrecognized/unsupported type, during the past 10 second period.
